"Data/Hora","Produto","SEC 3 - Ar Desumidificado (C)","SEC 3 - BO-02 (%)","SEC 3 - Câmara de Secagem (mmca)","SEC 3 - Delta P Filtro Cesto (mmca)","SEC 3 - Densidade TQ Origem (g/l)","SEC 3 - Duto do LF02 para CL02 (C)","SEC 3 - Malha do filtro","SEC 3 - LF-01(Pó) (C)","SEC 3 - LF-01(Tela) (C)","SEC 3 - Lote","SEC 3 - Lote TQ Origem","SEC 3 - Massa Seca TQ Origem (%)","SEC 3 - Massa Seca TQ Origem (auxiliar) (%)","SEC 3 - Peso TQ Origem (kg)","SEC 3 - Peso TQ Origem (em MS) (%)","SEC 3 - Pressão da Linha de Alimentação (bar)","SEC 3 - Pressão Delta P CL-01 (mmca)","SEC 3 - Pressão Delta P CL-02 (mmca)","SEC 3 - Pressão LF-01 (mmca)","SEC 3 - Pressão LF-02 (mmca)","SEC 3 - Pressão VE-01 (mmca)","SEC 3 - Pressão VE-04 (mmca)","SEC 3 - Processo","SEC 3 - Rotação VE-01 (%)","SEC 3 - Rotação VE-02 (%)","SEC 3 - Rotação VE-04 (%)","SEC 3 - Rotação VE-05 (%)","SEC 3 - Rotação VE-06 (%)","SEC 3 - Rotação VE-07 (%)","SEC 3 - Saída Câmara (C)","SEC 3 - Saída do Envase(Pó) (C)","SEC 3 - Soprador RO-01 (mmca)","SEC 3 - Vazão de Água Evaporada (kg/h)","SEC 3 - Temp. Antes TQ 07 (pasteurização) (C)","SEC 3 - Temp. Após TQ 07 (C)","SEC 3 - Temperatura AQ-01 (C)","SEC 3 - Temperatura AQ-02 (C)","SEC 3 - Temperatura AQ-03 (C)","SEC 3 - Temperatura AQ-04 (C)","SEC 3 - Temperatura AQ-05 (C)","SEC 3 - Temperatura AQ-06 (C)","SEC 3 - Temperatura AQ-07 (C)","SEC 3 - Totalizador de Entrada (kg)","SEC 3 - TQ Origem","SEC 3 - Vazão de Ar VE-04 (kg/h)","SEC 3 - Vazão de Ar VE-05 (kg/h)","SEC 3 - Vazão de Ar VE-06 (kg/h)","SEC 3 - Vazão de Entrada (kg/h)","SEC 3 - VE-08 (mmca)","SEC 3 - Volume TQ Origem (m3)","SEC 3 - XV-109 Aberta (s)","SEC 3 - XV-109 Intervalo (s)","SEC 3 - Verificação","SEC 3 - Taxa de Evaporação (%)","SEC 3 - Totalizador de Entrada (auxiliar) (kg)","SEC 3 - Sanitização tq. emerg. foi feita?","SEC 3 - Nivel TQ Origem (g/l)","SEC 3 - Nível Óleo BO 02","SEC 3 - Temperatura TQ Origem (C)","SEC 3 - Tela da peneira","SEC 3 - Avaliação material retido","SEC 3 - Monitoramento (peneira)","SEC 3 - Saída do Envaso(Pó) manual (C)","SEC 3 - Monitoramento","SEC 3 - Verificação RO","SEC 3 - Totalizador de pó (kg)","SEC 3 - Pressão VE-05 (mmca)","SEC 3 - Pressão VE-06 (mmca)","SEC 3 - Umidade Absoluta (g/kg)","SEC 3 - Abertura vv de vapor principal","SEC 3 - Bico 1","SEC 3 - Bico 2","SEC 3 - Bico 3","SEC 3 - Bico 4","SEC 3 - Bico 5","SEC 3 - Bico 6","SEC 3 - Pastilha 1","SEC 3 - Pastilha 2","SEC 3 - Pastilha 3","SEC 3 - Pastilha 4","SEC 3 - Pastilha 5","SEC 3 - Pastilha 6","SEC 3 - Bico 1 Do Secador 3 Aberto","SEC 3 - Bico 2 Do Secador 3 Aberto","SEC 3 - Bico 3 Do Secador 3 Aberto","SEC 3 - Bico 4 Do Secador 3 Aberto","SEC 3 - Bico 5 Do Secador 3 Aberto","SEC 3 - Bico 6 Do Secador 3 Aberto","SEC 3 - CV Válvula de Controle de Pressão LF-02 (%)"
"01/07/2024 06:48:40","Bionis YE STDK 20M","4.84","41.92","-5.16","","","46.65","","0.00","77.89","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","11830.20","5183.99","134.90","219.84","108.13","24.38","0.08","13.10","51.53","Secagem - 23a H","86.13","85.00","40.00","65.00","65.00","84.83","88.79","36.62","2221.80","442.00","79.93","68.41","129.37","44.69","83.11","45.04","24.92","44.89","19.48","60088.11","TER 2","","","","786.40","186.00","","3","10","","42.22","60088.11","","11.60","","5.83","","","","","","","25018.20","87.45","94.71","3","30.83","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.58"
"01/07/2024 07:48:42","Bionis YE STDK 20M","4.82","41.92","-3.48","","","46.33","","0.00","77.53","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","11830.16","5183.98","134.90","220.69","108.25","26.50","-6.81","10.29","53.30","Secagem - 24a H","86.13","85.00","40.00","65.00","65.00","84.70","88.83","36.57","2281.13","434.67","77.00","69.53","129.78","44.72","83.07","44.72","24.88","44.95","19.55","60888.16","TER 2","","","","773.33","185.00","","3","10","","41.52","60888.16","","11.60","","5.83","","","","","","","25351.31","83.75","87.00","3","30.83","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","42.00"
"01/07/2024 08:48:39","Bionis YE STDK 20M","5.13","41.94","-1.69","","","46.79","","0.00","77.67","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","11823.23","5180.94","135.22","218.16","107.44","29.47","-3.51","11.70","52.66","Secagem - 25a H","86.13","85.00","40.00","65.00","65.00","84.69","89.02","36.67","2294.03","452.00","75.66","70.32","129.83","44.90","83.15","44.85","25.00","45.03","19.95","61685.25","TER 2","","","","804.00","186.00","","3","10","","43.17","61685.25","","11.60","","5.85","","","","","","","25683.25","84.41","91.13","3","30.83","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.10"
"01/07/2024 09:48:42","Bionis YE STDK 20M","5.63","41.94","-4.25","","","47.63","","0.00","77.69","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","11823.15","5180.90","134.60","217.43","107.18","25.16","-5.81","11.80","51.81","Secagem - 26a H","86.44","85.00","40.00","65.00","65.00","84.69","88.93","37.09","2268.66","441.50","76.69","69.69","129.83","45.01","82.78","44.92","24.96","45.08","20.13","62485.09","TER 2","","","","785.33","187.83","","3","10","","42.17","62485.09","","11.60","","5.85","","","","","","","26016.24","83.34","90.70","3","31.74","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","39.58"
"01/07/2024 10:49:41","Bionis YE STDK 20M","5.54","41.94","-2.62","","","47.73","","0.00","77.99","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","11223.12","4917.97","135.22","217.75","108.01","26.72","-3.59","12.29","53.72","Secagem - 27a H","86.44","85.00","40.00","65.00","65.00","85.36","88.89","37.15","2131.14","447.25","77.32","70.09","129.51","44.77","83.09","44.83","24.99","44.90","19.84","63283.97","TER 2","","","","795.58","184.17","","3","10","","42.72","63283.97","","11.00","","6.46","","","","","","","26348.98","87.49","93.66","3","31.74","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","39.96"
"01/07/2024 11:49:38","Bionis YE STDK 20M","5.66","41.94","-2.63","","","48.46","","0.00","77.64","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","10049.69","4403.77","134.95","216.44","105.79","25.74","-4.84","10.37","52.41","Secagem - 28a H","86.44","85.00","40.00","65.00","65.00","85.46","88.88","36.91","2168.32","441.60","78.59","70.58","129.71","44.78","82.32","46.33","24.93","44.92","20.12","64081.53","TER 2","","","","786.37","183.10","","3","10","","42.18","64081.53","","9.85","","5.62","","","","","","","26681.21","83.73","89.84","3","31.74","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","39.76"
"01/07/2024 12:49:38","Bionis YE STDK 20M","6.49","42.07","-3.21","","","47.88","","0.00","77.55","Q324166 (155435)","24ME0617 (155405)","43.82","43.82","9707.76","4253.94","135.14","215.40","105.63","26.50","-0.82","12.14","52.69","Secagem - 29a H","86.44","85.00","40.00","65.00","65.00","85.47","89.03","36.96","2173.79","451.47","85.03","72.18","129.82","45.29","82.95","44.56","24.99","44.90","20.87","64881.61","TER 2","","","","804.13","181.00","","3","10","","43.12","64881.61","","9.52","","6.48","","","","","","","27014.28","84.07","92.26","3","31.74","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.24"
"01/07/2024 13:11:41","Bionis YE STDK 20M","5.73","42.07","-2.26","","","47.60","","0.00","77.82","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","8965.12","3928.52","135.00","214.47","106.17","27.90","-4.99","10.12","52.99","Troca Lote ou Ordem","86.67","85.00","40.00","65.00","65.00","85.47","88.88","36.94","2234.86","459.17","74.25","73.43","129.40","44.77","83.09","44.33","24.99","45.18","19.83","65175.47","TER 2","","","","817.50","181.75","","3","10","","43.86","65175.47","","8.79","","5.67","","","","","","","27136.70","80.52","89.29","3","31.53","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","42.06"
"01/07/2024 13:12:23","Bionis YE STDK 20M","5.73","42.07","-2.82","","","47.21","","0.00","77.82","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","8957.00","3924.96","134.63","214.79","106.43","28.07","-2.42","10.45","52.54","Secagem - 1a H","86.67","85.00","40.00","65.00","65.00","85.47","88.95","36.83","2257.67","465.23","72.59","73.40","129.51","44.79","83.06","44.69","24.98","44.95","19.98","65184.78","TER 2","","","","828.35","180.47","","3","10","","44.43","65184.78","","8.78","","5.66","","","","","","","27140.60","81.06","85.18","3","31.53","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","42.20"
"01/07/2024 13:49:38","Bionis YE STDK 20M","6.11","42.07","-3.08","","","48.80","","0.00","77.79","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","8915.03","3906.57","135.29","213.46","104.91","24.07","-5.30","11.18","50.44","Secagem - 2a H","86.67","85.00","40.00","65.00","65.00","85.47","88.87","37.16","2194.82","463.33","75.19","70.00","129.49","45.25","83.17","45.74","24.99","44.16","20.74","65679.66","TER 2","","","","825.40","181.00","","3","10","","44.25","65679.66","","8.74","","5.58","","","","","","","27346.62","85.94","88.26","3","31.53","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.05"
"01/07/2024 14:49:39","Bionis YE STDK 20M","5.64","42.07","-1.66","","","48.50","","0.00","77.63","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","8356.76","3661.93","134.92","214.28","104.39","27.40","-2.62","10.70","53.10","Secagem - 3a H","86.67","85.00","40.00","65.00","65.00","85.65","89.02","37.27","2206.97","444.15","75.65","69.60","129.87","44.73","83.22","44.92","24.98","44.99","19.97","66481.05","TER 2","","","","790.30","181.85","","3","10","","42.42","66481.05","","8.19","","6.51","","","","","","","27680.33","83.46","89.70","3","31.53","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","42.73"
"01/07/2024 15:49:40","Bionis YE STDK 20M","5.59","42.07","-2.30","","","48.47","","0.00","78.03","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","7335.03","3214.21","135.00","211.56","104.36","26.15","0.80","12.32","51.78","Secagem - 4a H","86.67","85.00","40.00","65.00","65.00","85.68","89.08","37.32","2261.86","449.20","79.63","70.73","129.83","44.97","82.44","45.17","24.98","44.93","20.48","67280.80","TER 2","","","","799.20","178.40","","3","10","","42.90","67280.80","","7.19","","5.68","","","","","","","28013.21","84.27","88.41","3","31.53","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.59"
"01/07/2024 16:49:35","Bionis YE STDK 20M","5.63","100.00","-2.40","","","48.43","","0.00","74.69","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","6579.46","2883.12","3.23","213.06","101.72","10.32","0.73","11.47","38.22","Secagem - 5a H","86.67","85.00","40.00","65.00","65.00","83.87","76.39","37.41","2158.72","0.00","111.57","70.22","85.25","44.73","80.43","45.10","24.97","44.96","19.62","67951.73","TER 2","","","","0.00","166.32","","3","10","","0.00","67951.73","","6.45","","6.34","","","","","","","28292.57","81.76","86.84","3","11.60","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","0","0","0","0","0","0","40.56"
"01/07/2024 18:20:38","Bionis YE STDK 20M","5.90","41.12","-2.65","","","48.86","","0.00","80.13","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","5135.27","2250.28","134.85","216.88","105.91","8.04","-3.12","10.98","32.24","Secagem - 6a H","87.90","85.00","40.00","65.00","65.00","85.48","88.90","37.22","2281.56","454.53","79.46","68.56","129.54","44.88","82.84","44.95","24.96","44.98","19.74","68804.81","TER 2","","","","808.80","179.63","","3","10","","43.41","68804.81","","5.03","","5.56","","","","","","","28647.29","80.90","87.43","3","30.77","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.96"
"01/07/2024 19:20:38","Bionis YE STDK 20M","5.51","41.12","-3.05","","","48.91","","0.00","78.16","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","4133.32","1811.22","135.04","218.53","106.44","16.43","-2.72","11.75","45.53","Secagem - 7a H","87.90","85.00","40.00","65.00","65.00","85.60","89.20","36.95","2124.73","448.03","78.20","69.56","130.05","44.79","83.13","45.25","25.08","44.87","19.73","69608.50","TER 2","","","","797.97","176.10","","3","10","","42.79","69608.50","","4.05","","6.14","","","","","","","28982.04","85.03","91.11","3","30.77","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.89"
"01/07/2024 20:20:36","Bionis YE STDK 20M","6.61","41.12","-4.33","","","47.96","","0.00","77.84","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","2186.61","958.17","135.39","217.05","107.41","19.48","0.42","10.04","46.43","Secagem - 8a H","87.90","85.00","40.00","65.00","65.00","85.60","88.86","37.33","2200.33","451.67","82.74","69.88","129.89","45.48","83.29","45.10","24.99","45.14","20.71","70415.80","TER 2","","","","804.33","180.67","","3","10","","43.14","70415.80","","2.14","","5.56","","","","","","","29317.84","82.78","90.92","3","30.77","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.89"
"01/07/2024 21:20:39","Bionis YE STDK 20M","6.02","42.53","-3.15","","","48.33","","0.00","77.71","Q324167 (155588)","24ME0617 (155405)","43.82","43.82","381.48","167.16","134.88","220.06","107.37","23.79","-0.57","12.68","52.69","Secagem - 9a H","85.84","85.00","40.00","65.00","65.00","85.04","88.87","36.53","2236.78","460.83","78.22","69.95","129.89","45.16","82.68","44.92","24.98","45.12","20.22","71224.73","TER 2","","","","819.90","177.15","","3","10","","44.01","71224.73","","0.37","","6.13","","","","","","","29654.46","84.41","88.06","3","30.77","1.80","0.00","1.70","2.00","2.00","0.00","3.50","0.00","3.00","3.00","3.00","0.00","1","0","0","0","1","0","40.19"
