"Data/Hora","Produto","SEC 4 - Ar Desumidificado (C)","SEC 4 - BO-02 (%)","SEC 4 - Câmara de Secagem (mmca)","SEC 4 - Delta P Filtro Cesto (mmca)","SEC 4 - Densidade TQ Origem (g/l)","SEC 4 - Duto do LF02 para CL02 (C)","SEC 4 - Malha do filtro","SEC 4 - LF-01(Pó) (C)","SEC 4 - LF-01(Tela) (C)","SEC 4 - Lote","SEC 4 - Lote TQ Origem","SEC 4 - Massa Seca TQ Origem (%)","SEC 4 - Massa Seca TQ Origem (auxiliar) (%)","SEC 4 - Peso TQ Origem (kg)","SEC 4 - Peso TQ Origem (em MS) (%)","SEC 4 - Pressão da Linha de Alimentação (bar)","SEC 4 - Pressão Delta P CL-01 (mmca)","SEC 4 - Pressão Delta P CL-02 (mmca)","SEC 4 - Pressão LF-01 (mmca)","SEC 4 - Pressão LF-02 (mmca)","SEC 4 - Pressão VE-01 (mmca)","SEC 4 - Pressão VE-04 (mmca)","SEC 4 - Processo","SEC 4 - Rotação VE-01 (%)","SEC 4 - Rotação VE-02 (%)","SEC 4 - Rotação VE-04 (%)","SEC 4 - Rotação VE-05 (%)","SEC 4 - Rotação VE-06 (%)","SEC 4 - Rotação VE-07 (%)","SEC 4 - Saída Câmara (C)","SEC 4 - Saída do Envase(Pó) (C)","SEC 4 - Soprador RO-01 (mmca)","SEC 4 - Vazão de Água Evaporada (kg/h)","SEC 4 - Temp. Antes TQ 10 (pasteurização) (C)","SEC 4 - Temp. Após TQ 10 (C)","SEC 4 - Temperatura AQ-01 (C)","SEC 4 - Temperatura AQ-02 (C)","SEC 4 - Temperatura AQ-03 (C)","SEC 4 - Temperatura AQ-04 (C)","SEC 4 - Temperatura AQ-05 (C)","SEC 4 - Temperatura AQ-06 (C)","SEC 4 - Temperatura AQ-07 (C)","SEC 4 - Totalizador de Entrada (kg)","SEC 4 - TQ Origem","SEC 4 - Vazão de Ar VE-04 (kg/h)","SEC 4 - Vazão de Ar VE-05 (kg/h)","SEC 4 - Vazão de Ar VE-06 (kg/h)","SEC 4 - Vazão de Entrada (kg/h)","SEC 4 - VE-08 (mmca)","SEC 4 - Volume TQ Origem (m3)","SEC 4 - XV-109 Aberta (s)","SEC 4 - XV-109 Intervalo (s)","SEC 4 - Verificação","SEC 4 - Taxa de Evaporação (%)","SEC 4 - Totalizador de Entrada (auxiliar) (kg)","SEC 4 - Sanitização tq. emerg. foi feita?","SEC 4 - Nivel TQ Origem (g/l)","SEC 4 - Nível Óleo BO 02","SEC 4 - Temperatura TQ Origem (C)","SEC 4 - Tela da peneira","SEC 4 - Avaliação material retido","SEC 4 - Monitoramento (peneira)","SEC 4 - Saída do Envaso(Pó) manual (C)","SEC 4 - Monitoramento","SEC 4 - Verificação RO","SEC 4 - Totalizador de pó (kg)","SEC 4 - Pressão VE-05 (mmca)","SEC 4 - Pressão VE-06 (mmca)","SEC 4 - Umidade Absoluta (g/kg)","SEC 4 - Abertura vv de vapor principal","SEC 4 - Bico 1","SEC 4 - Bico 2","SEC 4 - Bico 3","SEC 4 - Bico 4","SEC 4 - Bico 5","SEC 4 - Bico 6","SEC 4 - Pastilha 1","SEC 4 - Pastilha 2","SEC 4 - Pastilha 3","SEC 4 - Pastilha 4","SEC 4 - Pastilha 5","SEC 4 - Pastilha 6","SEC 4 - Bico 1 Do Secador 4 Aberto","SEC 4 - Bico 2 Do Secador 4 Aberto","SEC 4 - Bico 3 Do Secador 4 Aberto","SEC 4 - Bico 4 Do Secador 4 Aberto","SEC 4 - Bico 5 Do Secador 4 Aberto","SEC 4 - Bico 6 Do Secador 4 Aberto","SEC 4 - CV Válvula de Controle de Pressão LF-02 (%)"
"05/07/2024 19:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.55","42.67","-3.82","","","54.39","","79.42","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","33336.19","14721.26","129.96","76.29","120.25","54.42","-4.23","11.65","91.23","Secagem - 48a H","91.02","84.99","39.99","64.99","64.99","94.02","86.90","44.65","2509.89","90.57","79.74","72.74","137.15","40.42","78.16","44.90","26.23","41.42","21.67","45543.75","TER 2","","","","980.53","149.30","","2","10","","8.65","45543.75","","32.68","","6.48","","","","","","","19106.02","82.55","73.82","8","59.05","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","71.99"
"05/07/2024 20:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.04","42.67","-2.99","","","55.02","","79.55","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","32692.29","14436.92","130.01","76.76","119.70","58.24","-4.96","11.08","91.70","Secagem - 49a H","90.33","84.99","39.99","64.99","64.99","92.72","86.92","43.65","2542.44","90.12","76.61","73.20","136.99","39.89","77.72","44.97","26.17","42.51","21.40","46528.48","TER 2","","","","990.76","157.17","","2","10","","8.61","46528.48","","32.05","","6.26","","","","","","","19519.08","79.81","74.70","8","59.05","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","66.98"
"05/07/2024 21:57:11","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.51","42.67","-2.63","","","53.71","","79.34","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","31934.01","14102.06","129.98","78.30","119.13","57.63","-6.28","11.52","93.04","Secagem - 50a H","90.33","84.99","39.99","64.99","64.99","92.72","87.00","38.05","2569.48","90.00","76.84","72.81","137.20","40.16","78.24","44.91","26.02","36.17","21.44","47512.99","TER 2","","","","990.82","156.17","","2","10","","8.60","47512.99","","31.31","","6.06","","","","","","","19932.06","82.12","74.41","8","59.05","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","68.83"
"05/07/2024 22:57:09","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.01","42.67","-2.57","","","57.41","","79.61","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","30990.08","13685.22","130.01","77.97","120.56","54.15","-4.36","9.86","89.42","Secagem - 51a H","90.33","84.99","39.99","64.99","64.99","92.72","86.92","39.67","2560.30","89.66","78.82","72.70","137.13","40.12","77.63","45.12","26.07","42.99","21.62","48497.31","TER 2","","","","983.37","166.95","","2","10","","8.56","48497.31","","30.38","","5.86","","","","","","","20344.95","83.78","77.40","8","59.05","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","66.60"
"05/07/2024 23:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","3.98","42.76","-3.34","","","55.46","","79.71","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","30310.77","13385.24","129.88","78.25","120.01","56.85","-0.49","11.48","92.55","Secagem - 52a H","90.33","84.99","39.99","64.99","64.99","92.72","87.19","44.40","2564.67","91.53","77.72","72.72","137.41","40.21","78.41","44.71","25.82","39.88","21.34","49483.53","TER 2","","","","981.68","164.17","","2","10","","8.74","49483.53","","29.72","","5.73","","","","","","","20758.78","81.98","72.87","8","59.12","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","67.13"
"06/07/2024 00:57:07","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.47","42.76","-2.11","","","51.85","","79.29","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","29405.70","12985.56","129.85","78.88","119.49","56.60","-1.15","10.92","91.57","Secagem - 53a H","89.89","84.99","39.99","64.99","64.99","93.16","86.92","38.45","2528.75","91.25","78.84","72.42","137.91","40.02","78.24","45.25","26.31","37.64","21.96","50467.50","TER 2","","","","986.84","164.70","","2","10","","8.72","50467.50","","28.83","","5.57","","","","","","","21171.53","78.77","73.84","8","59.12","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","68.00"
"06/07/2024 01:57:10","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.46","42.76","-3.35","","","50.15","","79.66","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","28691.10","12669.99","129.86","77.31","119.20","55.45","-1.86","10.40","92.07","Secagem - 54a H","89.89","84.99","39.99","64.99","64.99","93.16","87.05","39.22","2595.47","91.25","78.01","72.10","137.85","40.19","78.22","45.17","25.89","44.19","21.33","51454.46","TER 2","","","","1002.58","174.90","","2","10","","8.72","51454.46","","28.13","","5.52","","","","","","","21585.44","78.20","69.25","8","59.12","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","67.78"
"06/07/2024 02:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.47","42.76","-1.76","","","49.65","","79.55","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","27886.30","12314.59","130.13","77.88","120.00","59.51","-4.96","11.22","92.09","Secagem - 55a H","89.89","84.99","39.99","64.99","64.99","93.16","87.17","39.56","2572.06","90.83","77.62","72.31","138.35","40.32","79.16","44.85","25.66","36.23","21.28","52442.43","TER 2","","","","991.22","173.03","","2","10","","8.68","52442.43","","27.35","","5.57","","","","","","","21999.90","75.05","71.45","8","59.12","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","67.18"
"06/07/2024 03:57:07","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.43","42.74","-3.84","","","53.05","","79.48","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","26990.70","11919.09","130.13","78.34","121.11","56.91","-0.44","10.92","91.48","Secagem - 56a H","89.89","84.99","39.99","64.99","64.99","93.16","87.12","38.37","2578.19","89.96","77.89","72.68","137.66","40.26","77.84","44.89","25.80","41.83","21.17","53426.33","TER 2","","","","972.82","167.15","","2","10","","8.59","53426.33","","26.47","","5.64","","","","","","","22412.71","81.02","75.59","8","58.97","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","67.54"
"06/07/2024 04:57:09","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.23","42.74","-3.08","","","53.32","","79.41","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","25898.54","11436.80","129.95","77.91","119.69","55.55","0.41","10.25","91.78","Secagem - 57a H","89.75","84.99","39.99","64.99","64.99","92.69","86.97","38.47","2558.62","89.94","79.31","72.79","137.75","40.13","77.50","45.24","26.03","40.45","21.64","54413.42","TER 2","","","","984.41","163.12","","2","10","","8.59","54413.42","","25.39","","5.73","","","","","","","22826.81","83.62","77.20","8","58.97","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","67.16"
