"TimeStamp","Time Zone","G100CPU_SET100424","G100CP2_FT123105","G100CP2_FT125003"
"5/27/2024 6:30","GMT-3.0","170","28,416.67","4,938.50"
"5/27/2024 6:30","GMT-3.0","170","26,302.34","4,936.31"
"5/27/2024 6:30","GMT-3.0","170","30,214.06","4,935.81"
"5/27/2024 6:30","GMT-3.0","170","25,067.58","4,937.84"
"5/27/2024 6:30","GMT-3.0","170","24,785.16","4,939.88"
"5/27/2024 6:30","GMT-3.0","170","33,140.62","4,941.91"
"5/27/2024 6:31","GMT-3.0","170","28,653.91","4,943.94"
"5/27/2024 6:31","GMT-3.0","170","26,948.44","4,945.97"
"5/27/2024 6:31","GMT-3.0","170","30,643.75","4,943.62"
"5/27/2024 6:31","GMT-3.0","170","25,196.09","4,934.72"
"5/27/2024 6:31","GMT-3.0","170","27,623.44","4,925.81"
"5/27/2024 6:31","GMT-3.0","170","31,073.44","4,916.91"
"5/27/2024 6:32","GMT-3.0","170","25,921.88","4,908.00"
"5/27/2024 6:32","GMT-3.0","170","26,743.36","4,899.09"
"5/27/2024 6:32","GMT-3.0","170","24,741.41","4,892.81"
"5/27/2024 6:32","GMT-3.0","170","25,572.34","4,890.47"
"5/27/2024 6:32","GMT-3.0","170","28,291.88","4,888.12"
"5/27/2024 6:32","GMT-3.0","170","26,069.79","4,885.78"
"5/27/2024 6:33","GMT-3.0","170","27,934.38","4,883.44"
"5/27/2024 6:33","GMT-3.0","170","29,798.96","4,881.09"
"5/27/2024 6:33","GMT-3.0","170","28,612.50","4,881.69"
"5/27/2024 6:33","GMT-3.0","170","32,025.78","4,886.69"
"5/27/2024 6:33","GMT-3.0","170","27,550.78","4,891.69"
"5/27/2024 6:33","GMT-3.0","170","26,752.54","4,896.69"
"5/27/2024 6:34","GMT-3.0","170","31,306.25","4,901.69"
"5/27/2024 6:34","GMT-3.0","170","25,849.22","4,906.69"
"5/27/2024 6:34","GMT-3.0","170","24,817.71","4,908.19"
"5/27/2024 6:34","GMT-3.0","170","26,393.36","4,904.44"
"5/27/2024 6:34","GMT-3.0","170","25,908.33","4,900.69"
"5/27/2024 6:34","GMT-3.0","170","31,093.75","4,896.94"
"5/27/2024 6:35","GMT-3.0","170","24,550.00","4,893.19"
"5/27/2024 6:35","GMT-3.0","170","24,382.81","4,889.44"
"5/27/2024 6:35","GMT-3.0","170","25,634.38","4,887.88"
"5/27/2024 6:35","GMT-3.0","170","27,154.69","4,889.59"
"5/27/2024 6:35","GMT-3.0","170","28,179.30","4,891.31"
"5/27/2024 6:35","GMT-3.0","170","32,768.16","4,893.03"
"5/27/2024 6:36","GMT-3.0","170","31,630.73","4,894.75"
"5/27/2024 6:36","GMT-3.0","170","26,638.67","4,896.47"
"5/27/2024 6:36","GMT-3.0","170","23,862.50","4,896.81"
"5/27/2024 6:36","GMT-3.0","170","24,378.91","4,895.09"
"5/27/2024 6:36","GMT-3.0","170","26,526.56","4,893.38"
"5/27/2024 6:36","GMT-3.0","170","27,175.78","4,891.66"
"5/27/2024 6:37","GMT-3.0","170","27,825.00","4,889.94"
"5/27/2024 6:37","GMT-3.0","170","30,627.34","4,888.22"
"5/27/2024 6:37","GMT-3.0","170","31,976.56","4,887.69"
"5/27/2024 6:37","GMT-3.0","170","30,188.80","4,888.94"
"5/27/2024 6:37","GMT-3.0","170","26,253.52","4,890.19"
"5/27/2024 6:37","GMT-3.0","170","28,387.30","4,891.44"
"5/27/2024 6:38","GMT-3.0","170","28,478.12","4,892.69"
"5/27/2024 6:38","GMT-3.0","170","24,237.89","4,893.94"
"5/27/2024 6:38","GMT-3.0","170","26,514.58","4,891.25"
"5/27/2024 6:38","GMT-3.0","170","29,574.22","4,882.66"
"5/27/2024 6:38","GMT-3.0","170","24,304.69","4,874.06"
"5/27/2024 6:38","GMT-3.0","170","30,778.91","4,865.47"
"5/27/2024 6:39","GMT-3.0","170","25,154.69","4,856.88"
"5/27/2024 6:39","GMT-3.0","170","30,904.30","4,848.28"
"5/27/2024 6:39","GMT-3.0","170","28,447.40","4,845.31"
"5/27/2024 6:39","GMT-3.0","170","25,369.53","4,850.78"
"5/27/2024 6:39","GMT-3.0","170","26,725.78","4,856.25"
"5/27/2024 6:39","GMT-3.0","170","26,321.09","4,861.72"
"5/27/2024 6:40","GMT-3.0","170","25,553.12","4,867.19"
"5/27/2024 6:40","GMT-3.0","170","28,070.31","4,872.66"
"5/27/2024 6:40","GMT-3.0","170","27,175.00","4,875.88"
"5/27/2024 6:40","GMT-3.0","170","27,343.55","4,875.72"
"5/27/2024 6:40","GMT-3.0","170","33,239.06","4,875.56"
"5/27/2024 6:40","GMT-3.0","170","29,974.74","4,875.41"
"5/27/2024 6:41","GMT-3.0","170","27,729.17","4,875.25"
"5/27/2024 6:41","GMT-3.0","170","30,517.19","4,875.09"
"5/27/2024 6:41","GMT-3.0","170","29,689.06","4,875.75"
"5/27/2024 6:41","GMT-3.0","170","31,499.48","4,877.62"
"5/27/2024 6:41","GMT-3.0","170","30,129.69","4,879.50"
"5/27/2024 6:41","GMT-3.0","170","24,174.22","4,881.38"
"5/27/2024 6:42","GMT-3.0","170","25,536.98","4,883.25"
"5/27/2024 6:42","GMT-3.0","170","29,279.30","4,885.12"
"5/27/2024 6:42","GMT-3.0","170","27,718.75","4,885.81"
"5/27/2024 6:42","GMT-3.0","170","30,893.55","4,884.72"
"5/27/2024 6:42","GMT-3.0","170","27,007.81","4,883.62"
"5/27/2024 6:42","GMT-3.0","170","25,183.33","4,882.53"
"5/27/2024 6:43","GMT-3.0","170","33,342.19","4,881.44"
"5/27/2024 6:43","GMT-3.0","170","27,261.72","4,880.34"
"5/27/2024 6:43","GMT-3.0","170","26,171.88","4,880.00"
"5/27/2024 6:43","GMT-3.0","170","33,144.34","4,880.78"
"5/27/2024 6:43","GMT-3.0","170","28,639.45","4,881.56"
"5/27/2024 6:43","GMT-3.0","170","29,630.47","4,882.34"
"5/27/2024 6:44","GMT-3.0","170","21,279.69","4,883.12"
"5/27/2024 6:44","GMT-3.0","170","28,761.72","4,883.91"
"5/27/2024 6:44","GMT-3.0","170","25,023.44","4,882.75"
"5/27/2024 6:44","GMT-3.0","170","23,750.00","4,878.69"
"5/27/2024 6:44","GMT-3.0","170","31,193.75","4,874.62"
"5/27/2024 6:44","GMT-3.0","170","28,102.34","4,870.56"
"5/27/2024 6:45","GMT-3.0","170","25,656.25","4,866.50"
"5/27/2024 6:45","GMT-3.0","170","28,186.20","4,862.44"
"5/27/2024 6:45","GMT-3.0","170","30,716.15","4,861.19"
"5/27/2024 6:45","GMT-3.0","170","29,283.59","4,864.16"
"5/27/2024 6:45","GMT-3.0","170","25,209.38","4,867.12"
"5/27/2024 6:45","GMT-3.0","170","24,125.00","4,870.09"
"5/27/2024 6:46","GMT-3.0","170","26,754.69","4,873.06"
"5/27/2024 6:46","GMT-3.0","170","27,366.21","4,876.03"
"5/27/2024 6:46","GMT-3.0","170","22,781.25","4,878.06"
"5/27/2024 6:46","GMT-3.0","170","29,157.03","4,878.69"
"5/27/2024 6:46","GMT-3.0","170","26,450.00","4,879.31"
"5/27/2024 6:46","GMT-3.0","170","30,034.49","4,879.94"
"5/27/2024 6:47","GMT-3.0","170","26,490.40","4,880.56"
"5/27/2024 6:47","GMT-3.0","170","22,946.32","4,881.19"
"5/27/2024 6:47","GMT-3.0","170","26,714.84","4,882.19"
"5/27/2024 6:47","GMT-3.0","170","29,264.84","4,883.75"
"5/27/2024 6:47","GMT-3.0","170","26,836.98","4,885.31"
"5/27/2024 6:47","GMT-3.0","170","26,211.33","4,886.88"
"5/27/2024 6:48","GMT-3.0","170","27,767.19","4,888.44"
"5/27/2024 6:48","GMT-3.0","170","31,040.62","4,890.00"
"5/27/2024 6:48","GMT-3.0","170","29,967.19","4,890.88"
"5/27/2024 6:48","GMT-3.0","170","22,700.39","4,890.72"
"5/27/2024 6:48","GMT-3.0","170","23,814.58","4,890.56"
"5/27/2024 6:48","GMT-3.0","170","27,990.62","4,890.41"
"5/27/2024 6:49","GMT-3.0","170","28,077.60","4,890.25"
"5/27/2024 6:49","GMT-3.0","170","22,716.02","4,890.09"
"5/27/2024 6:49","GMT-3.0","170","28,710.16","4,889.69"
"5/27/2024 6:49","GMT-3.0","170","28,387.30","4,888.91"
"5/27/2024 6:49","GMT-3.0","170","23,853.12","4,888.12"
"5/27/2024 6:49","GMT-3.0","170","33,905.47","4,887.34"
"5/27/2024 6:50","GMT-3.0","170","26,474.22","4,886.56"
"5/27/2024 6:50","GMT-3.0","170","33,335.94","4,885.78"
"5/27/2024 6:50","GMT-3.0","170","27,629.69","4,885.00"
"5/27/2024 6:50","GMT-3.0","170","30,228.12","4,884.22"
"5/27/2024 6:50","GMT-3.0","170","32,826.56","4,883.44"
"5/27/2024 6:50","GMT-3.0","170","25,745.51","4,882.66"
"5/27/2024 6:51","GMT-3.0","170","23,006.25","4,881.88"
"5/27/2024 6:51","GMT-3.0","170","26,077.34","4,881.09"
"5/27/2024 6:51","GMT-3.0","170","28,115.62","4,879.06"
"5/27/2024 6:51","GMT-3.0","170","23,867.97","4,875.16"
"5/27/2024 6:51","GMT-3.0","170","28,845.31","4,871.25"
"5/27/2024 6:51","GMT-3.0","170","26,382.03","4,867.34"
"5/27/2024 6:52","GMT-3.0","170","33,107.81","4,863.44"
"5/27/2024 6:52","GMT-3.0","170","30,807.03","4,859.53"
"5/27/2024 6:52","GMT-3.0","170","27,890.62","4,862.06"
"5/27/2024 6:52","GMT-3.0","170","28,477.05","4,874.25"
"5/27/2024 6:52","GMT-3.0","170","29,063.48","4,886.44"
"5/27/2024 6:52","GMT-3.0","170","29,649.90","4,898.62"
"5/27/2024 6:53","GMT-3.0","170","30,391.67","4,910.81"
"5/27/2024 6:53","GMT-3.0","170","26,988.02","4,923.00"
"5/27/2024 6:53","GMT-3.0","170","23,584.38","4,930.12"
"5/27/2024 6:53","GMT-3.0","170","26,035.16","4,929.66"
"5/27/2024 6:53","GMT-3.0","170","28,485.94","4,929.19"
"5/27/2024 6:53","GMT-3.0","170","27,783.98","4,928.72"
"5/27/2024 6:54","GMT-3.0","170","28,587.50","4,928.25"
"5/27/2024 6:54","GMT-3.0","170","26,853.52","4,927.78"
"5/27/2024 6:54","GMT-3.0","170","31,480.47","4,925.62"
"5/27/2024 6:54","GMT-3.0","170","29,431.25","4,920.94"
"5/27/2024 6:54","GMT-3.0","170","31,684.38","4,916.25"
"5/27/2024 6:54","GMT-3.0","170","27,517.38","4,911.56"
"5/27/2024 6:55","GMT-3.0","170","27,779.69","4,906.88"
"5/27/2024 6:55","GMT-3.0","170","29,956.45","4,902.19"
"5/27/2024 6:55","GMT-3.0","170","26,398.44","4,899.62"
"5/27/2024 6:55","GMT-3.0","170","27,990.23","4,900.25"
"5/27/2024 6:55","GMT-3.0","170","30,069.79","4,900.88"
"5/27/2024 6:55","GMT-3.0","170","25,722.66","4,901.50"
"5/27/2024 6:56","GMT-3.0","170","24,907.81","4,902.12"
"5/27/2024 6:56","GMT-3.0","170","28,442.97","4,902.75"
"5/27/2024 6:56","GMT-3.0","170","25,573.44","4,903.06"
"5/27/2024 6:56","GMT-3.0","170","28,818.23","4,902.91"
"5/27/2024 6:56","GMT-3.0","170","32,945.31","4,902.75"
"5/27/2024 6:56","GMT-3.0","170","26,480.47","4,902.59"
"5/27/2024 6:57","GMT-3.0","170","27,750.00","4,902.44"
"5/27/2024 6:57","GMT-3.0","170","31,400.00","4,902.28"
"5/27/2024 6:57","GMT-3.0","170","27,504.69","4,902.00"
"5/27/2024 6:57","GMT-3.0","170","25,436.98","4,901.53"
"5/27/2024 6:57","GMT-3.0","170","23,637.50","4,901.06"
"5/27/2024 6:57","GMT-3.0","170","34,451.56","4,900.59"
"5/27/2024 6:58","GMT-3.0","170","27,253.12","4,900.12"
"5/27/2024 6:58","GMT-3.0","170","25,135.55","4,899.66"
"5/27/2024 6:58","GMT-3.0","170","25,957.81","4,899.12"
"5/27/2024 6:58","GMT-3.0","170","31,322.27","4,898.50"
"5/27/2024 6:58","GMT-3.0","170","25,452.34","4,897.88"
"5/27/2024 6:58","GMT-3.0","170","27,289.84","4,897.25"
"5/27/2024 6:59","GMT-3.0","170","28,135.16","4,896.62"
"5/27/2024 6:59","GMT-3.0","170","27,513.28","4,896.00"
"5/27/2024 6:59","GMT-3.0","170","27,998.44","4,894.56"
"5/27/2024 6:59","GMT-3.0","170","32,241.41","4,891.91"
"5/27/2024 6:59","GMT-3.0","170","35,575.00","4,889.25"
"5/27/2024 6:59","GMT-3.0","170","28,359.38","4,886.59"
"5/27/2024 7:00","GMT-3.0","170","29,446.88","4,883.94"
"5/27/2024 7:00","GMT-3.0","170","29,496.09","4,881.28"
"5/27/2024 7:00","GMT-3.0","170","31,635.94","4,879.94"
"5/27/2024 7:00","GMT-3.0","170","27,533.79","4,880.56"
"5/27/2024 7:00","GMT-3.0","170","28,345.31","4,881.19"
"5/27/2024 7:00","GMT-3.0","170","27,694.14","4,881.81"
"5/27/2024 7:01","GMT-3.0","170","27,468.23","4,882.44"
"5/27/2024 7:01","GMT-3.0","170","24,300.00","4,883.06"
"5/27/2024 7:01","GMT-3.0","170","27,492.19","4,884.00"
"5/27/2024 7:01","GMT-3.0","170","32,946.09","4,885.41"
"5/27/2024 7:01","GMT-3.0","170","32,729.69","4,886.81"
"5/27/2024 7:01","GMT-3.0","170","22,751.17","4,888.22"
"5/27/2024 7:02","GMT-3.0","170","29,312.50","4,889.62"
"5/27/2024 7:02","GMT-3.0","170","29,048.44","4,891.03"
"5/27/2024 7:02","GMT-3.0","170","28,182.81","4,892.00"
"5/27/2024 7:02","GMT-3.0","170","28,315.23","4,892.31"
"5/27/2024 7:02","GMT-3.0","170","26,595.31","4,892.62"
"5/27/2024 7:02","GMT-3.0","170","33,966.41","4,892.94"
"5/27/2024 7:03","GMT-3.0","170","30,608.12","4,893.25"
"5/27/2024 7:03","GMT-3.0","170","24,567.50","4,893.56"
"5/27/2024 7:03","GMT-3.0","170","29,031.25","4,893.62"
"5/27/2024 7:03","GMT-3.0","170","27,848.70","4,893.31"
"5/27/2024 7:03","GMT-3.0","170","34,568.75","4,893.00"
"5/27/2024 7:03","GMT-3.0","170","28,074.22","4,892.69"
"5/27/2024 7:04","GMT-3.0","170","28,918.75","4,892.38"
"5/27/2024 7:04","GMT-3.0","170","32,811.72","4,892.06"
"5/27/2024 7:04","GMT-3.0","170","31,635.94","4,890.25"
"5/27/2024 7:04","GMT-3.0","170","27,590.62","4,886.19"
"5/27/2024 7:04","GMT-3.0","170","25,901.56","4,882.12"
"5/27/2024 7:04","GMT-3.0","170","31,861.72","4,878.06"
"5/27/2024 7:05","GMT-3.0","170","24,803.12","4,874.00"
"5/27/2024 7:05","GMT-3.0","170","27,460.16","4,869.94"
"5/27/2024 7:05","GMT-3.0","170","33,339.06","4,867.00"
"5/27/2024 7:05","GMT-3.0","170","23,514.84","4,865.75"
"5/27/2024 7:05","GMT-3.0","170","29,202.08","4,864.50"
"5/27/2024 7:05","GMT-3.0","170","32,197.27","4,863.25"
"5/27/2024 7:06","GMT-3.0","170","24,574.22","4,862.00"
"5/27/2024 7:06","GMT-3.0","170","27,111.72","4,860.75"
"5/27/2024 7:06","GMT-3.0","170","29,782.29","4,860.81"
"5/27/2024 7:06","GMT-3.0","170","29,591.41","4,862.84"
"5/27/2024 7:06","GMT-3.0","170","33,951.56","4,864.88"
"5/27/2024 7:06","GMT-3.0","170","31,008.98","4,866.91"
"5/27/2024 7:07","GMT-3.0","170","30,818.75","4,868.94"
"5/27/2024 7:07","GMT-3.0","170","26,807.81","4,870.97"
"5/27/2024 7:07","GMT-3.0","170","28,129.69","4,872.44"
"5/27/2024 7:07","GMT-3.0","170","25,601.56","4,873.06"
"5/27/2024 7:07","GMT-3.0","170","30,203.91","4,873.69"
"5/27/2024 7:07","GMT-3.0","170","28,871.88","4,874.31"
"5/27/2024 7:08","GMT-3.0","170","26,826.56","4,874.94"
"5/27/2024 7:08","GMT-3.0","170","26,883.98","4,875.56"
"5/27/2024 7:08","GMT-3.0","170","31,319.53","4,876.69"
"5/27/2024 7:08","GMT-3.0","170","32,208.59","4,878.56"
"5/27/2024 7:08","GMT-3.0","170","29,145.83","4,880.44"
"5/27/2024 7:08","GMT-3.0","170","24,546.88","4,882.31"
"5/27/2024 7:09","GMT-3.0","170","23,328.12","4,884.19"
"5/27/2024 7:09","GMT-3.0","170","27,671.88","4,886.06"
"5/27/2024 7:09","GMT-3.0","170","29,407.81","4,886.31"
"5/27/2024 7:09","GMT-3.0","170","27,304.95","4,884.12"
"5/27/2024 7:09","GMT-3.0","170","23,023.44","4,881.94"
"5/27/2024 7:09","GMT-3.0","170","29,032.55","4,879.75"
"5/27/2024 7:10","GMT-3.0","170","32,459.90","4,877.56"
"5/27/2024 7:10","GMT-3.0","170","28,420.70","4,875.38"
"5/27/2024 7:10","GMT-3.0","170","27,440.62","4,874.88"
"5/27/2024 7:10","GMT-3.0","170","26,253.12","4,876.91"
"5/27/2024 7:10","GMT-3.0","170","28,637.50","4,878.94"
"5/27/2024 7:10","GMT-3.0","170","29,360.16","4,880.97"
"5/27/2024 7:11","GMT-3.0","170","26,200.00","4,883.00"
"5/27/2024 7:11","GMT-3.0","170","28,950.00","4,885.03"
"5/27/2024 7:11","GMT-3.0","170","27,442.19","4,930.06"
"5/27/2024 7:11","GMT-3.0","170","27,957.42","5,039.59"
"5/27/2024 7:11","GMT-3.0","170","33,646.88","5,149.12"
"5/27/2024 7:11","GMT-3.0","170","29,484.77","5,258.66"
"5/27/2024 7:12","GMT-3.0","170","30,435.42","5,368.19"
"5/27/2024 7:12","GMT-3.0","170","27,532.03","5,477.72"
"5/27/2024 7:12","GMT-3.0","170","30,567.19","5,529.06"
"5/27/2024 7:12","GMT-3.0","170","28,948.83","5,493.12"
"5/27/2024 7:12","GMT-3.0","170","31,917.19","5,457.19"
