*Exported on Mon Aug 05 09:03:46 BRT 2024
*
;;G100CP2_LIC110003_MV;G100CP2_PV110007;G100CP2_PV110006;G100CP2_PV110005;G100CP2_FIC420201_SP;G100CP2_FIC420202_SP;G100CP2_FT110003;G100CP2_FT420201;G100CP2_FT420202
;Description;Controlador Indicador de Nivel CV CONTROLDE ALIMENTACAO DE MOSTO;VAZAO DE MOSTO CALCULADA;AFT DESEJADA NO MOSTO FINAL;AFT DO FS FINAL;Controlador Indicador de Vazao SP ALIMENTACAO DE FS;Controlador Indicador de Vazao SP AGUARDANDO DESCRIÇAO;Transmissor de Vazao MOSTO ESTERILIZADOR 2;Transmissor de Vazao AGUARDANDO DESCRIÇAO;Transmissor de Vazao AGUARDANDO DESCRIÇAO
;Data Type;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat;DoubleFloat
;Hi Engineering;"100";"0";"0";"0";"60.000";"60.000";"100.000";"60.000";"60.000"
;Lo Engineering;"0";"0";"0";"0";"0";"0";"0";"0";"0"
;Eng Units;%;kg/h;%;%;kg/h;kg/h;kg/h;kg/h;kg/h

TimeStamp;Time Zone;G100CP2_LIC110003_MV;G100CP2_PV110007;G100CP2_PV110006;G100CP2_PV110005;G100CP2_FIC420201_SP;G100CP2_FIC420202_SP;G100CP2_FT110003;G100CP2_FT420201;G100CP2_FT420202
31-07-2024 6:19:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:20:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:21:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:22:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:23:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:24:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:25:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:26:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:27:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:28:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:29:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:30:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:31:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:32:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:33:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:34:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:35:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:36:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:37:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"0,00"
31-07-2024 6:38:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"26.983,12";"0,00";"0,00";"1.857,81"
31-07-2024 6:39:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.200,59";"0,00";"8.932,38";"7.267,10"
31-07-2024 6:40:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.641,97";"0,00";"9.325,78";"8.418,31"
31-07-2024 6:41:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.596,25";"0,00";"9.272,88";"8.639,78"
31-07-2024 6:42:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.477,12";"0,00";"9.158,00";"8.542,34"
31-07-2024 6:43:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.464,75";"0,00";"9.137,72";"8.497,94"
31-07-2024 6:44:25;GMT-3.0;"25,00";"0,00";"37,00";"71,28";"0,00";"8.500,97";"0,00";"9.172,28";"8.504,00"
